,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GTF2IP20,1522.20721345384,-0.5989171276097889,0.0878763297081475,-6.815454509751331,9.396620502652539e-12,4.1051918711957e-10
UBXN8,306.190644344538,-0.782936393125113,0.115134512680765,-6.80018853509174,1.04482325877942e-11,4.5312200888675096e-10
SLC22A17,481.137487640257,1.04158523642115,0.153536996938142,6.7839364921328,1.16944752457879e-11,5.02269237549166e-10
PRMT9,570.870053707206,-0.5861962650386221,0.0870726320771537,-6.732267660396481,1.67038991426709e-11,6.907256526879801e-10
CITED1,434.95103022569197,0.67688044893452,0.10077823090370099,6.7165343434269404,1.8609746365165398e-11,7.62442166172826e-10
ZSWIM5,509.262372465654,-0.608003099438736,0.0908061911469943,-6.695612840478231,2.14769644542827e-11,8.71876495346122e-10
RNF25,964.372293085365,-0.602575781096157,0.0900661814243411,-6.6903667010946,2.22612054773874e-11,9.016548851786471e-10
DNAJC27,380.95882642822096,-0.668700000347433,0.0999601390097539,-6.68966657081362,2.23679651776274e-11,9.039199745986211e-10
GAB2,672.491821583655,-0.5480990477151261,0.081955734419786,-6.6877449344508895,2.26635693387004e-11,9.13788948778756e-10
TMEM260,502.44554284762495,-0.721267583163178,0.10817019401663801,-6.667895807344481,2.5949689480597396e-11,1.02308520765965e-09
ZMYM5,614.824531171141,-0.7092339206490441,0.10636146270561699,-6.6681474907131895,2.59052383646553e-11,1.02308520765965e-09
OSBPL7,244.20518687623502,-0.9416704178351719,0.14140776998944699,-6.65925513078558,2.75218823421327e-11,1.07789997780939e-09
ISOC2,1014.6393690473,0.653503195649855,0.0986123161181112,6.6269936796447695,3.42592295884524e-11,1.32426817676581e-09
SEMA4F,540.88537676677,0.6468687979458001,0.0977168891786342,6.619825941892951,3.59622060519766e-11,1.3870802295232e-09
CCDC66,1074.5743016635001,-0.5906054593865661,0.08936541897227197,-6.60888144629879,3.8723466012644794e-11,1.4871316396778302e-09
RAD52,702.81265676403,-0.500217348349833,0.0757036268543163,-6.607574420608,3.90667811114783e-11,1.4970828339293e-09
ATG14,658.418986491571,-0.5224152702510579,0.0793185170280201,-6.58629648946298,4.50932918433666e-11,1.7132560304848298e-09
KDELR3,789.922957199608,0.564190470823797,0.0858220370301101,6.5739580455991105,4.89950421566173e-11,1.8418199674139801e-09
ZSCAN30,985.313738058632,-0.595393372188442,0.0906817402349268,-6.56574709137663,5.1772623923746797e-11,1.92991410060407e-09
DBI,1091.40233785276,0.5090135496276671,0.0776459927216409,6.555567541682009,5.5430653235842e-11,2.04060547657662e-09
SOWAHA,509.145415062572,0.596217023269587,0.0915898062674167,6.50964389561869,7.53291657306364e-11,2.7279590546974498e-09
FOSB,228.903765574983,1.2810885378251,0.19743789433370101,6.48856463015077,8.665798214365909e-11,3.11285975857859e-09
COL5A1,1025.0408127579901,0.503049586313645,0.0776603619450399,6.477559126876759,9.321824929584941e-11,3.32834074443674e-09
C10orf76,1271.60386473915,-0.505256673140063,0.0780251543793788,-6.475561338634111,9.44601037117955e-11,3.36592205230348e-09
CLK3,2235.3799769763395,-0.525939029790032,0.0817653606988301,-6.43229633300642,1.2569038895486902e-10,4.365040636731479e-09
SLU7,2574.74215423404,-0.545181115029662,0.0847719713263331,-6.43114824982617,1.26643565287233e-10,4.38559548374815e-09
EFCAB7,491.951058927292,-0.650682321475016,0.101473220350416,-6.41235509455624,1.4328860088187e-10,4.86408750040195e-09
KLC4,961.965280045256,-0.5356662437696621,0.0836404362412792,-6.404393231814519,1.50968555123646e-10,5.07442699178364e-09
LYSMD1,782.618941116873,-0.5287285356974171,0.0826402336462166,-6.3979554796626905,1.57471182992179e-10,5.2730604609867e-09
ALKBH1,704.017755667157,-0.502109698764172,0.0785652425417174,-6.39099024606914,1.64814896662886e-10,5.4982620592172204e-09
SESN1,990.2722368441271,-0.518724591226159,0.0812631354269419,-6.3832706983415495,1.73345083258445e-10,5.7612129447073e-09
TTC25,270.523738550298,-0.6688489516166899,0.104890614643856,-6.37663297033477,1.81023584710694e-10,6.0051872383224795e-09
SEC24B,2024.7455764570002,-0.5191072006982,0.0815033135791923,-6.36915455214974,1.90073004505158e-10,6.27029330817481e-09
