"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BLOC1S5",1180.14864846451,0.205484191173929,0.0775319680093411,2.65031568848055,0.00804165911458234,0.0297929740523935
"SH3PXD2B",1962.45226960896,0.187569654131715,0.0707736767821963,2.65027426381923,0.00804264526469203,0.0297929740523935
"RNF13",1354.48410651879,-0.217352799102985,0.0820399873255674,-2.64935193420304,0.00806463018531031,0.0298681919027291
"PPIC",740.350445183551,0.2122107397724,0.0801031568944418,2.64921818314909,0.00806782277772678,0.0298737935882466
"DGCR6L",2255.65039253515,0.146760415467992,0.0554094136323614,2.64865490982704,0.00808128034133317,0.029917394492868
"ACKR2",40.4762289554686,-0.798008104348263,0.301321596436327,-2.64836013676468,0.00808833098137534,0.0299372633596659
"PAQR5",655.464397668732,0.2569097429698,0.0970220110162133,2.64795318380762,0.00809807388741261,0.029963017635498
"RSL24D1",5268.81944988512,0.174668891830716,0.0659643475649455,2.6479287414879,0.00809865939802055,0.029963017635498
"LETM1",4011.37811555485,0.196028046199734,0.0740519767919153,2.6471683092346,0.00811689433231551,0.0300196031417088
"STAC3",159.333192609865,0.50250765620942,0.189829676850265,2.6471501429452,0.0081173304035395,0.0300196031417088
"PRMT1P1",16.055473192646,-1.16156115008925,0.438846219834381,-2.64685235417459,0.00812448164002168,0.0300335567653276
"RNF144A",948.817708960174,0.323116495938097,0.122075620943775,2.64685523153649,0.00812441251475675,0.0300335567653276
"C3orf62",445.066818470863,-0.398753213901289,0.150673719453099,-2.64646824508378,0.00813371414047059,0.0300614365270645
"TTC39B",522.932587867035,0.343238844193576,0.129729042476552,2.64581344039147,0.00814947477091226,0.0301134270369058
"ARHGEF3",528.596652694964,-0.24610038311243,0.0930265210096291,-2.64548625963295,0.00815735998921761,0.03013630126081
"ACADM",2980.82648070791,-0.1307003983237,0.0494127567382825,-2.64507400418806,0.00816730527224107,0.0301667750406561
"MZT2A",3750.50953770404,0.22802641809696,0.0862482448286612,2.64383835926113,0.00819717910984664,0.0302708290243371
"PDCD5",1849.17621075895,0.22306196933584,0.0843809503043259,2.64351098833743,0.00820511023280846,0.0302938257993287
"FZD5",974.260831440288,0.203165169991459,0.0768575693987664,2.64339832212701,0.00820784135327068,0.0302976182483924
"SCAMP3",2825.22815918509,0.148094950286226,0.0560283832851428,2.64321298604196,0.00821233582042175,0.0303079168167121
"OSBP",4256.7601642267,-0.146640463452753,0.0554829214621082,-2.64298381535119,0.00821789633794151,0.0303221445911886
"GIGYF2",3843.87059552575,-0.109895740783331,0.0415812930760474,-2.6429130181773,0.00821961481688587,0.0303221931657775
"WDR74",1489.47042519523,-0.171425733042844,0.0648739300333437,-2.64244409048034,0.00823100534705998,0.0303579145563314
"TIPIN",1311.37619234484,0.219456178336764,0.0830744512529357,2.64168074572758,0.00824957765497776,0.0304201037501368
"SNX24",485.211998261701,-0.2314888445092,0.0876460602105556,-2.64117798282188,0.00826183043516877,0.0304589688923359
"COL3A1",63.8155804169558,0.863797088834701,0.327142194210235,2.64043313312128,0.00828001301969514,0.0305153634955474
"PSMA4",6267.98222007212,0.126331016914429,0.047845213491423,2.64041076830133,0.00828055952229999,0.0305153634955474
"DLC1",1379.16806844516,0.232344869401385,0.0880404051828126,2.63907087795575,0.00831335977911552,0.0306298902263682
"IFT74",771.223908270603,-0.250612693428269,0.0949713098410445,-2.63882528152686,0.00831938452218476,0.0306457377644432
"DSE",1481.95549864474,0.161807403118564,0.061326718778419,2.63844872743304,0.00832862938267357,0.0306734380806377
"BCAP31",5674.2374533664,0.129041548873406,0.0489174768398338,2.63794368004538,0.00834104333922248,0.0307064371873116
"GGH",2120.57339145976,0.2381965608053,0.0902948290218855,2.63798673064176,0.00833998451981654,0.0307064371873116
"NIN",2562.13945862653,0.137960062609608,0.0523047367411301,2.6376208199347,0.00834898784195735,0.0307235806891166
"ORAI1",818.095847631454,0.231778430206441,0.0878742799280233,2.63761399121891,0.00834915594678653,0.0307235806891166
"IRX3",477.69779166406,0.371448175494517,0.140837962766443,2.63741514147364,0.00835405242690568,0.0307316029522245
"SLC2A4",205.625359802419,0.413420281274531,0.156753855596154,2.63738508824707,0.00835479268157321,0.0307316029522245
"HNRNPH2",3198.46025895687,-0.142366738027837,0.0539914738986592,-2.63683740686643,0.0083682931522723,0.030767855949493
"PIH1D2",68.8204162004804,-0.532938540979482,0.202117586001649,-2.63677471872801,0.00836983967311725,0.030767855949493
"RP11-474G23.1",38.47181451257,-0.857948389867109,0.325361339445625,-2.63690944759739,0.00836651621796569,0.030767855949493
"DNAH7",79.887069485956,-0.926859087745623,0.351542890995909,-2.63654624082957,0.00837547840331887,0.0307822202334462
"ARL13B",1532.07004638231,-0.255752957450378,0.0970152678903678,-2.636213484865,0.00838369674680482,0.0308060574199084
"C6orf141",53.9942897704703,0.620996280250203,0.235608395997854,2.63571371308796,0.00839605356770219,0.0308387168947144
"GLT1D1",18.8990372476269,-1.20585429492327,0.457497119179882,-2.63576368980182,0.00839481716443839,0.0308387168947144
"ACTN3",26.4753159286213,-1.17635858263319,0.446429808211487,-2.63503592501135,0.00841283785569757,0.0308876047722813
"PTPN5",48.1775250969969,0.633891800353424,0.240561741046004,2.63504827325057,0.00841253180401833,0.0308876047722813
"FAM227B",132.085684572015,-0.428938265471821,0.162792018343574,-2.63488511191343,0.00841657656891999,0.0308949520999105
"KIAA0040",352.315293353317,0.408276333074771,0.154973314836708,2.63449441928092,0.00842626889793473,0.0309241459802224
"CTB-63M22.1",3537.75750539834,0.257378177677276,0.0977356679060521,2.63341094598831,0.00845320002458204,0.0310165806102132
"MVK",709.98862813475,0.176508293071661,0.0670425214803398,2.63278124351904,0.00846888743741033,0.0310677300442734
"APLF",150.540332571105,-0.432229050505664,0.164230394500599,-2.63184565695048,0.00849224324079291,0.0311469837179329
"RTF1",3212.09308172369,-0.285305824109558,0.108411087497414,-2.63170336812978,0.00849580035304446,0.0311536040580498
"FAM35A",1612.46456116405,0.195778233732032,0.074396250353349,2.63156049938233,0.00849937330343289,0.0311602797336784
"CCDC117",4831.24249983939,0.164584486907275,0.0625480219203767,2.63133000619573,0.00850514045273915,0.0311749953391373
"LEF1",1087.24034645425,0.162230260902424,0.0616591340002271,2.63108237786516,0.0085113402376829,0.031191290347535
"SORCS1",271.930292231405,-0.344149438051252,0.130815295552729,-2.63080426946352,0.00851830795905472,0.031210392297538
"TCP11L1",1034.57045534123,0.177443214303679,0.0674582640821655,2.63041477153266,0.00852807500453622,0.0312397407613635
"TOP1",5773.20703861621,0.146661316994685,0.0557579656498772,2.63032044453738,0.00853044185272442,0.031241974579463
"PRDM16",1122.6248487748,0.253437787506221,0.0963622361618413,2.63005299171939,0.00853715595914063,0.0312601256403376
"C1QTNF6",813.763132610747,-0.302613114071818,0.115085995041528,-2.62945212371515,0.00855225731848334,0.0312960871331451
"UBE2D4",624.118559973508,0.252677297362874,0.0960912666732976,2.62955527708835,0.00854966311186363,0.0312960871331451
"ZFAND6",1693.31943873519,-0.192587915284792,0.073241765168295,-2.62948216556856,0.00855150172257751,0.0312960871331451
"HYAL2",876.570851356534,0.175197682188167,0.0666327853119829,2.6293014972715,0.00855604669059546,0.0312970718381975
"NBPF19",1169.51173268861,-0.219305523539304,0.083407892283542,-2.62931381593702,0.00855573672844844,0.0312970718381975
"LRRC57",916.074691908543,0.307069056243324,0.116790606177328,2.62922735221605,0.00855791253986964,0.0312974584268659
"PBLD",213.389362725985,-0.32759395629442,0.124623163612239,-2.62867629739939,0.00857179115483241,0.0313417681521849
"LAMTOR3",867.272073041522,-0.201588901582223,0.0766941498101229,-2.62847820963282,0.00857678501737079,0.0313535802618976
"DLX1",466.331198477215,0.271286549471458,0.103222327385193,2.62817702665338,0.00858438293049546,0.0313749050127728
"SLC24A4",112.362820760878,0.922600871971909,0.351076109572806,2.62792268347323,0.00859080390630226,0.0313919203160626
"MLYCD",306.834645981666,-0.278582274383136,0.106037034846683,-2.62721675295743,0.00860864785194484,0.031445064148811
"NR4A2",166.896840617801,0.438585767484189,0.166939909816561,2.62720740634233,0.00860888433026333,0.031445064148811
"SEC61G",1156.06297688774,0.248220846625398,0.0944878673817794,2.62701290126974,0.00861380681297507,0.0314565822430704
"SYNCRIP",7555.61667611,0.161279214511596,0.0613954794654818,2.62689070784554,0.00861690053836581,0.0314614185775529
"LRRC45",1169.76568850887,0.237780408215767,0.0905409062734633,2.62622076586677,0.00863387996389384,0.0315169410055423
"FNDC3B",1063.78020637634,-0.187284247473774,0.0713164046774441,-2.6261033253266,0.00863685952875552,0.0315213463220037
"SPTLC2",3033.2898744886,-0.136855778799727,0.052115271340269,-2.62602065153174,0.00863895758338278,0.0315225333039461
"ADCY10P1",100.035757429452,0.625011224727239,0.238052621151485,2.6255170882135,0.00865174660467173,0.0315542908920917
"LTK",316.680695802855,-0.27710082483921,0.105546019326949,-2.62540289635024,0.00865464909357035,0.0315542908920917
"MACF1",4011.51174446717,0.200623644469945,0.0764184843129467,2.62532875748172,0.00865653399536716,0.0315542908920917
"PYGB",2620.97807897944,0.164222521102361,0.0625526551364414,2.62534852827837,0.00865603130803832,0.0315542908920917
"RRN3P3",117.399569539291,-0.643414309184465,0.2450685767027,-2.62544597859648,0.00865355394186057,0.0315542908920917
"ZNF358",2387.4670625099,0.193245909664305,0.0736146654914813,2.62510069663588,0.00866233450011701,0.0315689628502932
"TMEM108",344.462503577605,0.307158477485287,0.117098096887985,2.62308684469153,0.00871370582528568,0.0317496728031567
"NBAS",1729.94889350095,-0.185729792943461,0.0708114376938512,-2.6228784359167,0.00871903763709459,0.031762591318414
"MYH16",12.8428144374618,-1.6404643555208,0.625476040653092,-2.62274531540474,0.0087224448424352,0.0317684948265752
